email,fname,lname,gender,age,weight,height,status,skinTone,bodyType,hairType,familyAffluence,religion,community,motherTongue,drink,smoke,education,password,bloodGroup,aboutMySelf,image,createdDate,phone,dob,province,country,city,rejectedBy,modifiedDate
12-ARID-0073,HAFIZ MUHAMMAD ,ABU BAKER,Male,22,60,5.5,Single,Wheatish,Slim,Black Straight long,Middle class,Muslim,Malik,Punjabi,No,Yes,BS(IT),$2a$10$/VOZVRfCsw.aMDlFZa0G/OkAQwKoi6opOLvZTtgjkjEcyC0jI/hqG,,,,"ISODate(""2018-02-04T07:43:52.748Z"")",3134445676,"ISODate(""1995-09-12T00:00:00.000Z"")",,,,,"ISODate(""2018-02-04T07:43:52.748Z"")"
12-ARID-2756,SAKHAWAT ,ALI,Male,20,56,5.5,Single,Wheatish,0.00%,F,,,,,,,,,,,,,,,,,,,
13-ARID-0089,ETIZAZ ,HASSAN,Male,20,56,5.4,Single,Wheatish,0.00%,F,,,,,,,,,,,,,,,,,,,
13-ARID-1742,MANSOOR ,AHMED,Male,22,56,5.3,Single,Wheatish,74.67%,B,,,,,,,,,,,,,,,,,,,
13-ARID-1758,MUHAMMAD ,ASIF,Male,22,56,5.2,Single,Wheatish,75.00%,B,,,,,,,,,,,,,,,,,,,
13-ARID-1761,MUHAMMAD ,FARHAN,Male,23,55,5.6,Single,Wheatish,77.67%,B,,,,,,,,,,,,,,,,,,,
13-ARID-1766,MUHAMMAD MUBASHER ,SIDDIQUI,Male,21,66,5.7,Single,Wheatish,49.33%,D,,,,,,,,,,,,,,,,,,,
13-ARID-1776,MUHAMMAD ,WAJHI UD DIN,Male,23,65,5.8,Single,Fair,0.00%,F,,,,,,,,,,,,,,,,,,,
13-ARID-1796,TOUSEEF UR REHMAN,Ali,Male,24,75,5.5,Single,Fair,0.00%,F,,,,,,,,,,,,,,,,,,,
13-ARID-1798,USMAN ,ALI,Male,24,65,5.3,Single,Fair,0.00%,F,,,,,,,,,,,,,,,,,,,
13-ARID-1800,WAQAR ,KHALID,Male,24,75,5.2,Single,Fair,75.33%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0165,ABDULLAH ZAHOOR ,ABBASI,Male,21,56,5.3,Single,Fair,54.00%,C,,,,,,,,,,,,,,,,,,,
14-ARID-0168,ADNAN ,AHMED,Male,25,66,5.1,Married,Fair,80.00%,A,,,,,,,,,,,,,,,,,,,
14-ARID-0169,AISHA ,AFZAL,Female,21,56,5.2,Married,Very Fair,75.00%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0170,ALAMDAR ,HUSSAIN,Male,21,75,5.3,Single,Very Fair,75.00%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0173,ARSLAN ,ASLAM,Male,22,65,5.5,Married,Very Fair,47.67%,D,,,,,,,,,,,,,,,,,,,
14-ARID-0174,ASIM ,HAYAT,Male,23,56,5.4,Single,Very Fair,73.00%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0176,AWAIS ,RIAZ,Male,21,56,5.3,Single,Very Fair,76.67%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0177,BASIT ,IQBAL,Male,23,57,5.4,Divorced,Very Fair,0.00%,F,,,,,,,,,,,,,,,,,,,
14-ARID-0178,CHAUDHARY HASAM ,MAQSOOD,Male,21,76,5.5,Married,Very Fair,73.33%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0179,DANIAL ,AHMAD BHATTI,Male,23,67,5.6,Married,Very Fair,76.67%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0182,FARYAL ,TARIQ,Female,22,67,5.6,Married,Very Fair,73.33%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0183,HABIBA BINTA ,KARAMAT,Female,21,65,5.7,Married,Fair,74.00%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0184,HAFIZ MEHMOOD ,HUSSAIN,Male,21,56,5.6,Married,Wheatish,76.00%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0185,HANZALA ,JAMEEL,Male,21,67,5.6,Married,Wheatish,78.33%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0187,HASSAN ,SARFARAZ,Male,23,76,5.6,Married,Wheatish,69.67%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0189,IFRAHIM ,ANSER,Male,23,56,5.6,Single,Wheatish,75.67%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0191,IQRA ,MAQSOOD,Female,22,65,5.6,Married,Wheatish,49.67%,D,,,,,,,,,,,,,,,,,,,
14-ARID-0192,IZHAR ,REHMAN,Male,24,67,5.7,Single,Wheatish,0.00%,F,,,,,,,,,,,,,,,,,,,
14-ARID-0193,KAINAT ,MAZHAR,Female,24,76,5.7,Married,Wheatish,73.67%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0194,KAMRAN ,HAIDER,Male,25,67,5.7,Single,Wheatish,74.67%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0195,KHAIR MUHAMMAD ,SHAH,Male,26,75,5.8,Married,Wheatish,81.00%,A,,,,,,,,,,,,,,,,,,,
14-ARID-0196,LARAIB ,TARIQ,Female,20,75,5.8,Married,Wheatish,75.33%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0197,MAMOONA ,MUSHTAQ,Female,23,57,5.7,Married,Dark,73.67%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0201,MUHAMMAD FARZAN ,QAYYUM,Male,22,57,5.8,Single,Dark,79.00%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0202,MUHAMMAD HAMZA ,ANWAR,Male,23,58,5.8,Married,Dark,76.00%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0204,MUHAMMAD ,MURTEZA,Male,23,58,5.7,Married,Dark,76.00%,B,,,,,,,,,,,,,,,,,,,
14-ARID-0206,MUHAMMAD SHAFQAT ,ULLAH,Male,23,57,5.7,Married,Dark,48.00%,D,,,,,,,,,,,,,,,,,,,
14-ARID-0207,MUHAMMAD SHAHBAZ ,FAROOQI,Male,21,56,5.7,Divorced,Fair,49.67%,D,,,,,,,,,,,,,,,,,,,
14-ARID-0209,MUHAMMAD TAYYAB ,ZAMIR,Male,23,57,5.9,Divorced,Wheatish,48.33%,D,,,,,,,,,,,,,,,,,,,
