email,fname,lname,gender,weight,height,status,skinTone,bodyType,hairType,familyAffluence,religion,community,motherTongue,drink,smoke,education,password,bloodGroup,phone,dob
,Sanam,JAVAID,Female,50,5.5,Single,Wheatish,Slim,Black Straight long,Middle class,Muslim,Chauhdary,Urdu,Yes,Yes,BS(IT),$2a$10$/VOZVRfCsw.aMDlFZa0G/OkAQwKoi6opOLvZTtgjkjEcyC0jI/hqG,A+,3134445676,12/09/95
,LARAIB,TARIQ,Female,51,5.1,Single,Fair,Slim,Black Straight long,Middle class,Muslim,Chauhdary,Urdu,Yes,Yes,BS(IT),$2a$10$/VOZVRfCsw.aMDlFZa0G/OkAQwKoi6opOLvZTtgjkjEcyC0jI/hqG,A-,3134445676,12/09/95
,MAMOONA ,Mushtaq,Female,52,5.2,Single,Very Fair,Slim,Black Straight long,Middle class,Muslim,Chauhdary,Urdu,Yes,Yes,BS(IT),$2a$10$/VOZVRfCsw.aMDlFZa0G/OkAQwKoi6opOLvZTtgjkjEcyC0jI/hqG,B+,3134445676,12/09/95
,QURAT UL AIN,SYED,Female,53,5.3,Single,Wheatish,Slim,Black Straight long,Middle class,Muslim,Chauhdary,Urdu,Yes,Yes,BS(IT),$2a$10$/VOZVRfCsw.aMDlFZa0G/OkAQwKoi6opOLvZTtgjkjEcyC0jI/hqG,B-,3134445676,12/09/95
,SABA ,KALEEM,Female,54,5.4,Single,Dark,Slim,Black Straight long,Middle class,Muslim,Chauhdary,Urdu,Yes,Yes,BS(IT),$2a$10$/VOZVRfCsw.aMDlFZa0G/OkAQwKoi6opOLvZTtgjkjEcyC0jI/hqG,AB+,3134445676,12/09/95
,SHABEENA ,FATIMA,Female,55,5.5,Single,Fair,Average,Black Straight long,Middle class,Muslim,Chauhdary,Urdu,Yes,Yes,BS(IT),$2a$10$/VOZVRfCsw.aMDlFZa0G/OkAQwKoi6opOLvZTtgjkjEcyC0jI/hqG,AB-,3134445676,12/09/95
,AISHA ,JAVAID,Female,56,5.6,Single,Very Fair,Average,Black Straight long,Middle class,Muslim,Chauhdary,Urdu,Yes,Yes,BS(IT),$2a$10$/VOZVRfCsw.aMDlFZa0G/OkAQwKoi6opOLvZTtgjkjEcyC0jI/hqG,O+,3134445676,12/09/95
,FARYAL ,YASMIN,Female,57,5.7,Single,Wheatish,Average,Black Straight long,Middle class,Muslim,Chauhdary,Urdu,Yes,Yes,BS(IT),$2a$10$/VOZVRfCsw.aMDlFZa0G/OkAQwKoi6opOLvZTtgjkjEcyC0jI/hqG,O-,3134445676,12/09/95
,IQRA ,AKBAR,Female,58,5,Single,Dark,Average,Black Straight long,Lower Middle class,Muslim,Chauhdary,Urdu,Yes,Yes,BS(IT),$2a$10$/VOZVRfCsw.aMDlFZa0G/OkAQwKoi6opOLvZTtgjkjEcyC0jI/hqG,A+,3134445676,12/09/95
,HABIBA BINTA ,SYED,Female,59,5.8,Single,Fair,Athletic,Black Straight medium,Lower Middle class,Muslim,Chauhdary,Urdu,Yes,Yes,BS(IT),$2a$10$/VOZVRfCsw.aMDlFZa0G/OkAQwKoi6opOLvZTtgjkjEcyC0jI/hqG,A-,3134445676,12/09/95
